id,Permalink,Title,Dataset Title (French),Available Cycles_year,Data Types,dataset_years_0_year_or_min_year,dataset_years_0_max_year,Summary,Summary French,Dataset ID,URL Ref,URL Ref French,Subjects,Acronym,Acronym French,Content,Date
19487,https://crdcn.ca/data/participation-and-activity-limitation-survey/,Participation and Activity Limitation Survey,Enquête sur la participation et les limitations d'activités,"20,012,006",Cross-Sectional>Repeated,2001,2006,"The HALS (Health and Activity Limitation Survey) in 1986-1991 was renamed the PALS (Participation and Activity Limitation Survey) for the period of 2001-2006, then the Canadian Survey on Disability in 2012-2022.","L'ESLA (Enqu�te sur la sant� et les limitations d'activit�s) de 1986-1991 a �t� renomm�e EPLA (Enqu�te sur la participation et les limitations d'activit�s) pour la p�riode 2001-2006, puis l'Enqu�te canadienne sur l'incapacit� de 2012 � 2022.",1100,,"""""",Health>Disability|Society and community>Equity and inclusion,PALS,EPLA,The PALS ,9/16/2021 20:05
19488,https://crdcn.ca/data/canadian-community-health-survey/,Canadian Community Health Survey: Rapid Response,Enquête sur la santé dans les collectivités canadiennes: Réponse Rapide,"20,222,021,202,020,100,000,000,000,000,000,000,000,000,000,000,000,000,000",Cross-Sectional>Repeated,2007,2022,"The CCHS collects information on health status, health care use and determinants of health. It relies upon a large sample of respondents and is designed to provide reliable estimates at the regional level. In 2007, a rapid response section was added to the survey. This portion of the survey appears for some collection periods and is conducted based on interest and cost-recovery from organizations with interest in obtaining national estimates on specific topics. The following are the rapid response surveys conducted and available in the RDC:

<ul>
<li>Work Productivity and Work family balance (2022) </li>
<li>Smoking - stages of change 2 and tobacco alternatives and vaping (2021)</li>
<li>Healthy Living (2020)</li>
<li>Traumatic Brain Injuries (2020)</li>
<li>Tobacco Alternatives to Vaping (2020)</li>
<li>Smoking - stages of change 2 (2020)</li>
<li>Tanning Equipment and Handheld Laser Use (2019)</li>
<li>Positive Mental Health (2019) </li>
<li>Gambling (2018)</li>
<li>Antibiotic Medication (2018)</li>
<li>Barriers to Physical Activity (2017)</li>
<li>Prescriptions - cost related non-adherence (2016)</li>
<li>Risk Factors for Heart Disease (2015)</li>
<li>Tanning Equipment Use and Laser Beam Exposure (2014)</li>
<li>Everyday Discrimination (2013)</li>
<li>Food Skills - mechanical skills and food conceptualization (2013)</li>
<li>Food Skills - knowledge, planning and transference of skills (2012)</li>
<li>Awareness, Use, and Understanding of Canada's Food Guide (2012)</li>
<li>Stigma and Mental Health Experiences (2012)</li>
<li>Neighbourhood Environment (2011)</li>
<li>Infertility (2009-10)</li>
<li>Sleep Apnea (2009)</li>
<li>Osteoporosis (2009)</li>
<li>Prescription Drug Expenses (2007)</li>
</ul>","L'ESCC recueille des informations sur l'état de santé, l'utilisation des soins de santé et les déterminants de la santé. Elle s'appuie sur un large échantillon de répondants et est conçue pour fournir des estimations fiables au niveau régional. En 2007, une section de réponse rapide a été ajoutée à l'enquête. Cette partie de l'enquête apparaît pour certaines périodes de collecte et est menée en fonction de l'intérêt et du recouvrement des coûts de la part d'organisations désireuses d'obtenir des estimations nationales sur des sujets spécifiques. Voici les enquêtes à réponse rapide réalisées et disponibles dans le CDR :

<ul>
<li>Productivité au travail et équilibre travail-famille (2022) </li>
<li>Usage du tabac - étape du changement 2 et alternatives au tabac et vapotage (2021)</li>
<li>Mode de vie sain (2020)</li>
<li>Traumatisme cérébrale (2020)</li>
<li>Alternatives au tabac et vapotage (2020)</li>
<li>Usage du tabac - étape du changements 2 (2020)</li>
<li>Utilisation d'appareils de bronzage et Utilisation de lasers portatifs (2019)</li>
<li>Santé mentale positive (2019) </li>
<li>Jeux de hasard (2018)</li>
<li>Utilisation d'antibiotiques (2018)</li>
<li>Obstacles à l'activité physique (2017)</li>
<li>Ordonnances - non-respect lié aux coûts (2016)</li>
<li>Facteurs de risque cardiopathie (2015)</li>
<li>Utilisation d'appareils de bronzage et exposition à un faisceau laser (2014)</li>
<li>Discrimination dans la vie de tous les jours (2013)</li>
<li>Compétences Alimentaires - compétences mécaniques et conceptualisation alimentaire (2013)</li>
<li>Compétences Alimentaires - connaissances, planification et transfert des compétences (2012)</li>
<li>Connaisances, utilisation et compréhension du Guide alimentaire canadien (2012)</li>
<li>Stigmatization et experiences relatives à la santé mentale (2012)</li>
<li>Environnement du quartier (2011)</li>
<li>Infertilité (2009-10)</li>
<li>Apnée de sommeil (2009)</li>
<li>Ostéoporose (2009)</li>
<li>Dépensees liées aux médicaments sur ordonnance (2007)</li>
</ul>",3226,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getInstanceList&Id=1208978,http://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getInstanceList&Id=1208978,Health>Health care services|Health>Lifestyle and social conditions|Health>Mental health and well-being|Health>Prevention and detection of disease,CCHS,ESCC,"The CCHS collects information on health status, health care use and determinants of health. It relies upon a large sample of respondents and is designed to provide reliable estimates at the regional level. In 2007, changes were made to the survey design to improve its effectiveness and flexibility. Since then, data collection occurs every year rather than every two years as was the case prior to 2007.",9/16/2021 20:05
19489,https://crdcn.ca/data/national-longitudinal-survey-of-children-and-youth/,National Longitudinal Survey of Children and Youth,Enquête longitudinale nationale sur les enfants et les jeunes,"1,994,199,519,961,990,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",Longitudinal>Survey,1994,2009,"The National Longitudinal Survey of Children and Youth (NLSCY) is a long-term study of Canadian children that follows their development and well-being from birth to early adulthood. The study is designed to collect information about factors influencing a child's social, emotional and behavioural development and to monitor the impact of these factors on the child's development over time.

<br><br>Please note that additional documentation is available for this survey. Please contact <u><a href=""/about/research-data-centres/"">your RDC analyst</a></u> to request this documentation.","L'Enquête longitudinale nationale sur les enfants et les jeunes (ELNEJ) est une étude à long terme sur les enfants canadiens qui permet de suivre leur croissance et leur bien-être de la naissance au début de l'âge adulte. Ayant débutée en 1994, l'ELNEJ est menée conjointement par Statistique Canada et Ressources humaines et Développement des compétences Canada (RHDCC), connu auparavant sous le nom de Développement des ressources humaines Canada (DRHC). L'enquête a été conçue pour recueillir des renseignements sur les facteurs qui influent sur le développement social et émotionnel ainsi que sur le comportement des enfants et des jeunes. Elle permet en outre de suivre les conséquences de ces facteurs sur leur développement au fil du temps. L'enquête porte sur un large éventail de sujets y compris la santé, le développement physique, l'apprentissage et le comportement des enfants ainsi que des données sur leur environnement social (famille, amis, école et communauté). Les résultats de l'ELNEJ seront utilisés par une variété de personnes provenant de tous les échelons du gouvernement, des universités et d'organismes responsables de l'élaboration de politiques.

<br><br>Notez que la documentation supplémentaire est disponible pour cette enquête. Veuillez contacter <u><a href=""/about/research-data-centres/"">votre analyste du CDR</a></u> pour demander cette documentation.",3895,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getInstanceList&Id=5903&db=IMDB,http://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getInstanceList&Id=5903&db=IMDB,"Children and youth>Child development and behaviour|Education, training and learning",NLSCY,ELNEJ,"The National Longitudinal Survey of Children and Youth (NLSCY) is a long-term study of Canadian children that follows their development and well-being from birth to early adulthood. The study is designed to collect information about factors influencing a child's social, emotional and behavioural development and to monitor the impact of these factors on the child's development over time.",9/16/2021 20:05
19490,https://crdcn.ca/data/ethnic-diversity-survey/,Ethnic Diversity Survey,Enquête sur la diversité ethnique,2002,Cross-Sectional>Single,2002,2002,"There are two primary objectives of the survey. First of all, the survey will help us to better understand how people's backgrounds affect their participation in the social, economic and cultural life of Canada. Secondly, the survey will provide information to better understand how Canadians of different ethnic backgrounds interpret and report their ethnicity.","L'enquête poursuit deux objectifs. En premier lieu, elle nous aidera à mieux comprendre la façon dont les antécédents des personnes influencent leur participation à la vie sociale, économique et culturelle du Canada. En second lieu, elle permettra de recueillir des renseignements qui aideront à mieux comprendre comment les Canadiens de différentes origines ethniques interprètent et déclarent leur appartenance ethnique.",3900,https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&Id=4077&db=IMDB,https://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getSurvey&Id=4077&db=IMDB,Immigration and ethnocultural diversity|Society and community,EDS,EDE,"There are two primary objectives of the survey. First of all, the survey will help us to better understand how people's backgrounds affect their participation in the social, economic and cultural life of Canada. Secondly, the survey will provide information to better understand how Canadians of different ethnic backgrounds interpret and report their ethnicity.",9/16/2021 20:05
19491,https://crdcn.ca/data/canadian-population-census/,Canadian Population Census,Recensement de la population,"1,911,192,119,311,940,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",Cross-Sectional>Repeated,1911,2021,"Statistics Canada conducts the Census of Population in order to develop a statistical portrait of Canada and Canadians on one specific day. The census is designed to provide information about people and housing units in Canada by their demographic, social and economic characteristics. You can read a brief history of the Census on the Canadian encyclopedia. <br><br>Please note that additional documentation is available for this survey. Please contact <u><a href=""/about/research-data-centres/"">your RDC analyst</a></u> to request this documentation.

<br> <br> The Sex and Gender Diversity Module for the Census of Population (2021) dataset is a separate data module for the Census of Population (2021) main file that contains the variables: sex, three-category gender, transgender, and gender diversity status of persons, couples (married and common-law unions) and one-parent families. Access to this module is granted separately from the main census long-form data. Please contact your analyst for more information.","Statistique Canada mène le Recensement de la population pour dresser le portrait statistique du Canada et de ses habitants à un jour précis. Le recensement est conçu pour fournir des renseignements sur les logements et sur les caractéristiques démographiques, sociales et économiques des Canadiens. Vous pouvez lire un bref historique du recensementsur l'encyclopédie canadienne.

<br><br>Notez que la documentation supplémentaire est disponible pour cette enquête. Veuillez contacter <u><a href=""/about/research-data-centres/"">votre analyste du CDR</a></u> pour demander cette documentation.

<br><br> Le Module sur le sexe et la diversité des genres est un module de données distinct du fichier principal du Recensement de la population (2021) qui contient les variables suivantes : sexe, trois catégories de genre, transgenre, et la diversité des genres des personnes, des couples (mariés et en union libre) et des familles monoparentales. L'accès à ce module est accordé séparément des données complètes du recensement principal. Veuillez contacter votre analyste pour plus d'informations.",3912,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getInstanceList&Id=1283315,http://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getInstanceList&Id=1283315,"Census|Population and demography>Census counts>Families, households and marital status>Families|Families, households and marital status",Census,Recensement,"Statistics Canada conducts the Census of Population in order to develop a statistical portrait of Canada and Canadians on one specific day. The census is designed to provide information about people and housing units in Canada by their demographic, social and economic characteristics. You can read a brief history of the Census on the Canadian encyclopedia.",9/16/2021 20:05
19492,https://crdcn.ca/data/survey-of-labour-and-income-dynamics/,Survey of Labour and Income Dynamics,Enquête sur la dynamique du travail et du revenu,"1,993,199,419,951,990,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",Longitudinal>Survey,1993,2011,"At the heart of the survey's objectives is the understanding of the economic well-being of Canadians: what economic shifts do individuals and families live through, and how does it vary with changes in their paid work, family make-up, receipt of government transfers or other factors?

Starting with the 2012 reference year, annual individual and family income data is produced by the <u><a href=""/data/canadian-income-survey/"">Canadian Income Survey (CIS)</a></u>. The CIS is a new cross-sectional survey developed to provide information on the income and income sources of Canadians, along with their individual and household characteristics.

The CIS reports on many of the same statistics as the Survey of Labour and Income Dynamics (SLID), which last reported on income for the 2011 reference year. Prior to SLID, income data came from the <u><a href=""/data/survey-of-consumer-finances/"">Survey of Consumer Finances (SCF)</a></u>.","Au coeur des objectifs visés par l'enquête, on trouve le désir de comprendre le bien-être économique des Canadiens : à travers quels changements économiques doivent passer les personnes et les familles, et quel rôle jouent à cet égard les changements touchant le travail rémunéré, la composition de la famille, la réception de paiements de transfert gouvernementaux, ou d'autres facteurs?

Depuis l’année de référence 2012, des données annuelles sur le revenu des particuliers et des familles sont produites par <u><a href=""/data/canadian-income-survey/?lang=fr"">l’Enquête canadienne sur le revenu (ECR)</a></u>. L’ECR est une nouvelle enquête transversale visant à fournir des renseignements sur le revenu et les sources de revenu des Canadiens, de même que sur leurs caractéristiques personnelles et celles de leur ménage.

L’ECR produit, dans une large mesure, les mêmes statistiques que l’Enquête sur la dynamique du travail et du revenu (EDTR), dont les dernières données sur le revenu portaient sur l’année de référence 2011. Avant l’avènement de l’EDTR, les données sur le revenu provenaient de <u><a href=""/data/survey-of-consumer-finances/?lang=fr"">l’Enquête sur les finances des consommateurs (EFC)</a></u>.",3920,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getInstanceList&Id=132028&db=IMDB,"""http://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getInstanceList&Id=132028&db=IMDB""","Population and demography>Census counts>Families, households and marital status>Families|Families, households and marital status|Income, pensions, spending and wealth>Household, family and personal income|Labour|Income, pensions, spending and wealth>Low income and inequality",SLID,EDTR,"At the heart of the survey's objectives is the understanding of the economic well-being of Canadians: what economic shifts do individuals and families live through, and how does it vary with changes in their paid work, family make-up, receipt of government transfers or other factors?

Starting with the 2012 reference year, annual individual and family income data is produced by the Canadian Income Survey (CIS). The CIS is a new cross-sectional survey developed to provide information on the income and income sources of Canadians, along with their individual and household characteristics.

The CIS reports on many of the same statistics as the Survey of Labour and Income Dynamics (SLID), which last reported on income for the 2011 reference year. Prior to SLID, income data came from the Survey of Consumer Finances (SCF).",9/16/2021 20:05
19493,https://crdcn.ca/data/national-population-health-survey/,National Population Health Survey,Enquête nationale sur la santé de la population,"199,419,951,996,199,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",Longitudinal>Survey,1994,2011,"The NPHS collects information related to the health of the Canadian population and related socio-demographic information. It is composed of three components: the Households, the Health Institutions, and the North components. The Household component started in 1994/1995 and is conducted every two years. The first three cycles (1994/1995, 1996/1997 and 1998/1999) were both cross- sectional and longitudinal. Beginning in Cycle 4 (2000/2001) the survey became strictly longitudinal (collecting health information from the same individuals each cycle).","L'ENSP recueille des renseignements sur la santé de la population canadienne ainsi que des renseignements sociodémographiques connexes. Elle compte trois volets : le volet ménages, le volet établissements de soins de santé et le volet Nord. rnrnLe volet ménages a débuté en 1994-1995 et est mené tous les deux ans. Les trois premiers cycles (1994-1995, 1996-1997, 1998-1999) étaient à la fois transversaux et longitudinaux. À compter du cycle 4 (2000-2001), l'enquête est devenue strictement longitudinale (c'est-à-dire que l'information sur la santé est recueillie auprès des mêmes personnes pour chaque cycle). La documentation transversale et longitudinale du volet ménages est présentée séparément, de même que la documentation des volets établissements de soins de santé et Nord.",3923,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getInstanceList&Id=75088,"""http://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getInstanceList&Id=75088""",Health,NPHS,ENSP,"The NPHS collects information related to the health of the Canadian population and related socio-demographic information. It is composed of three components: the Households, the Health Institutions, and the North components. The Household component started in 1994/1995 and is conducted every two years. The first three cycles (1994/1995, 1996/1997 and 1998/1999) were both cross- sectional and longitudinal. Beginning in Cycle 4 (2000/2001) the survey became strictly longitudinal (collecting health information from the same individuals each cycle).",9/16/2021 20:05
19494,https://crdcn.ca/data/longitudinal-survey-of-immigrants-to-canada/,Longitudinal Survey of Immigrants to Canada,Enquête longitudinale auprès des immigrants,"200,120,032,005",Longitudinal>Survey,2001,2005,"This survey was designed to provide information on how new immigrants adjust to life in Canada and to understand the factors that can help or hinder this adjustment. The data will be used to evaluate the current services available and help improve them. <br><br>Please note that additional documentation is available for this survey. Please contact <u><a href=""/about/research-data-centres/"">your RDC analyst</a></u> to request this documentation.","Cette enquête a été menée afin de fournir de l'information sur le processus par lequel les nouveaux immigrants s'adaptent à la société canadienne et sur les facteurs qui facilitent ou freinent l'adaptation. Ces données serviront à évaluer les services qui sont offerts et à les améliorer. <br><br>Notez que la documentation supplémentaire est disponible pour cette enquête. Veuillez contacter <u><a href=""/about/research-data-centres/"">votre analyste du CDR</a></u> pour demander cette documentation.",3926,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getInstanceList&Id=30691&db=IMDB,http://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getInstanceList&Id=30691&db=IMDB,Immigration and ethnocultural diversity>Immigrants and non-permanent residents,LSIC,ELIC,This survey was designed to provide information on how new immigrants adjust to life in Canada and to understand the factors that can help or hinder this adjustment. The data will be used to evaluate the current services available and help improve them.,9/16/2021 20:05
19495,https://crdcn.ca/data/national-graduates-survey/,National Graduates Survey,Enquête nationale auprès des diplômés,"19,781,984,198,719,800,000,000,000,000,000,000,000,000,000,000,000,000,000",Cross-Sectional>Repeated,1978,2023,"This survey was designed to determine such factors as: the extent to which graduates of postsecondary programs had been successful in obtaining employment since graduation; the relationship between the graduates' programs of study and the employment subsequently obtained; the graduates' job and career satisfaction; the rates of under-employment and unemployment; the type of employment obtained related to career expectations and qualification requirements; and the influence of postsecondary education on occupational achievement.
<br><br>
The National Graduates Survey (NGS) Class of 2020 master and income analytical files are now available in Research Data Centers. In the master file, data collected in 2023 cover the education and labour market experiences of students who graduated from a Canadian public postsecondary institution in 2020. The income analytical file for postsecondary graduates in the Class of 2020 is derived from administrative income files.
<br><br>
These two data files are part of the Education and Labour Market Longitudinal Platform (ELMLP). Note that since the NGS sample was selected from the Postsecondary Student Information System (PSIS) for the academic years 2019-2020 and 2020-2021, the “Register group ID” and “Cohort group ID” have been integrated directly into the NGS master and income analytical files (as REGISTID and COHORTID, respectively). They are unique person level IDs which can be used to link NGS data with other administrative and survey data within an ELMLP.

<br><br>Please note that additional documentation is available for this survey. Please contact <u><a href=""/about/research-data-centres/"">your RDC analyst</a></u> to request this documentation.","Cette enquête vise à déterminer dans quelle mesure les personnes ayant obtenu leur diplôme d'études postsecondaires ont réussi à se trouver un emploi par la suite, le lien entre le programme d'études du diplômé et son emploi subséquent, la satisfaction des diplômés à l'égard de leur emploi et de leurs perspectives de carrière, les taux de sous-emploi et de chômage, le type d'emploi obtenu par rapport aux possibilités de carrière et aux qualifications exigées, et l'incidence des études postsecondaires sur la réussite professionnelle. Chaque promotion est interrogée deux fois : deux ans après l'obtention du diplôme (Enquête nationale auprès des diplômés) et cinq ans après l'obtention du diplôme (Enquête de suivi auprès des diplômés).
<br><br>
Le fichier principal et le fichier analytique sur le revenu de l'Enquête nationale auprès des diplômés de la promotion 2020 sont maintenant disponibles dans les Centres de données de recherche. Les données recueillis en 2023 dans le fichier principal portent sur les études et les expériences sur le marché du travail des étudiants qui ont obtenu un diplôme d'un établissement d'enseignement postsecondaire public au Canada en 2020. Le fichier analytique des revenus des diplômés postsecondaires de la promotion 2020 provient des données des fichiers administratifs des revenus.
<br><br>
Ces deux fichiers font d'ailleurs partie de la Plateforme longitudinale entre l'éducation et le marché du travail (PLEMT). À noter que l’END est un sous-ensemble du Système d’information sur les étudiants postsecondaires (SIEP) des années académiques 2019-2020 et 2020-2021, le « Register group_ID » et le « Cohort group_ID » ont été intégrés directement dans les fichiers principal et analytique sur le revenu de l’END (en tant que REGISTID et COHORTID, respectivement). Il s'agit d'un identifiant unique au niveau de la personne qui peut être utilisé pour relier les données de l'END à d'autres données administratives et d'enquête présentes dans PLEMT.

 <br><br>Notez que la documentation supplémentaire est disponible pour cette enquête. Veuillez contacter <u><a href=""/about/research-data-centres/"">votre analyste du CDR</a></u> pour demander cette documentation.",3932,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getInstanceList&Id=793554&dbg=1,http://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getInstanceList&Id=793554&dbg=1,"Children and youth>Education|Education, training and learning|Labour",NGS,END,This survey was designed to determine such factors as: the extent to which graduates of postsecondary programs had been successful in obtaining employment since graduation; the relationship between the graduates' programs of study and the employment subsequently obtained; the graduates' job and career satisfaction; the rates of under-employment and unemployment; the type of employment obtained related to career expectations and qualification requirements; and the influence of postsecondary education on occupational achievement.,9/16/2021 20:05
19496,https://crdcn.ca/data/aboriginal-peoples-survey/,Indigenous Peoples Survey,Enquête auprès des peuples autochtones,"199,120,012,006,201,000,000,000",Cross-Sectional>Repeated,1991,2022,"The purpose of the Indigenous Peoples Survey (IPS) (formerly the Aboriginal Peoples Survey (APS) before 2022) is to provide data on the social and economic conditions of Aboriginal people in Canada. More specifically, its purpose is to identify the needs of Aboriginal people and focus on issues such as education, employment, health, language, income, housing and mobility.<br><br>

The 2022 Indigenous Peoples Survey (IPS) Sex and Gender Diversity module contains the variables sex at birth, three-category gender, and sexual orientation. Crossings with these sensitive variables can allow for the identification of transgender or non-binary persons. As the population falling under the category ‘transgender’ or ‘non-binary’ is very small, care needs to be taken to ensure the confidentiality of individuals within these categories.
<br><br>

Please note that additional documentation is available for this survey. Please contact <u><a href=""/about/research-data-centres/"">your RDC analyst</a></u> to request this documentation.","L'Enquête auprès des peuples autochtones (EAPA) est menée en vue de recueillir des données sur les conditions et le mode de vie des Autochtones au Canada. Plus précisément, elle vise à déterminer les besoins des peuples autochtones et à mettre l'accent sur des questions comme l'éducation, l'emploi, la santé, la langue, le revenu, le logement et la mobilité.
<br><br>
Le module sur le sexe et la diversité des genres de L’Enquête auprès des peuples autochtones (EAPA) 2022 contient les variables sexe à la naissance, genre à trois catégories et orientation sexuelle. Les croisements avec ces variables sensibles peuvent permettre d’identifier les personnes transgenres ou non binaires. Étant donné que la population appartenant à la catégorie « transgenre » ou « non binaire » est très petite, il faut faire preuve d’extrême prudence pour assurer la confidentialité des renseignements des personnes qui en font partie.
<br><br>
Notez que la documentation supplémentaire est disponible pour cette enquête. Veuillez contacter <u><a href=""/about/research-data-centres/"">votre analyste du CDR</a></u> pour demander cette documentation.",3938,http://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getInstanceList&Id=318572,https://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getInstanceList&Id=318572,"Indigenous peoples>Demographic characteristics and Indigenous groups|Indigenous peoples>Education, learning and skills|Families, households and marital status|Indigenous peoples>Health and well-being|Indigenous peoples>Income and spending|Indigenous peoples>Labour and employment|Indigenous peoples>Language and culture|Indigenous peoples>Living arrangements and housing|Business and consumer services and culture>Culture>Other content related to Culture|Education, training and learning>Student pathways|Education, training and learning>Education indicators>Transitions and outcomes, indicators",IPS APS,EAPA,"The purpose of the Aboriginal Peoples Survey (APS) is to provide data on the social and economic conditions of Aboriginal people in Canada. More specifically, its purpose is to identify the needs of Aboriginal people and focus on issues such as education, employment, health, language, income, housing and mobility.",9/16/2021 20:05
